mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
154.9986_7.909,7310.389072727273,4129.903336363636,1.7701114232770498,0.01,0.8238401765510811,2,154.9986,7.909,6546.15485,154.9986_7.909,154.9986_7.909,1,4129.903336363636,9872.048254545454,0.41834310670656183,0.00492,-1.2572414317664982,2.30803489723264,154.9986,7.909,6546.15485,154.9986_7.909,154.9986_7.909,1
212.0199_7.051,11824.787345454546,6532.933272727272,1.8100272652131513,0.01,0.8560114294032529,2,212.0199,7.051,11438.9415,Cluster_212.0199_7.051,168.03_7.048;212.0199_7.051,2,6532.933272727272,15487.316863636364,0.4218247311815743,0.0221,-1.2452844134421897,1.6556077263148892,212.0199,7.051,11438.9415,Cluster_212.0199_7.051,168.03_7.048;212.0199_7.051,2
215.0731_0.557,25284.702245454544,9840.683909090909,2.569404980287632,0.0344,1.3614343005172407,1.4634415574284698,215.0731,0.557,11504.7225,215.0731_0.557,215.0731_0.557,1,9840.683909090909,22850.14749090909,0.4306617238687853,0.00672,-1.2153729887177542,2.1726307269461747,215.0731,0.557,11504.7225,215.0731_0.557,215.0731_0.557,1
278.1422_0.538,6164.211872727273,3818.9642363636362,1.6141056818580601,0.00811,0.6907350406362192,2.090979145788844,278.1422,0.538,5296.51,278.1422_0.538,278.1422_0.538,1,3818.9642363636362,6513.820190909091,0.5862864071215095,0.0493,-0.7703224862268606,1.30715308072277,278.1422,0.538,5296.51,278.1422_0.538,278.1422_0.538,1
123.0542_0.96,556.2961154545454,1414.902900909091,0.39316911082528627,0.00301,-1.346778113518365,2.5214335044061564,123.0542,0.96,505.01329999999996,123.0542_0.96,123.0542_0.96,1,1414.902900909091,863.7439822727273,1.6381044961796736,0.0234,0.7120273907467296,1.630784142589857,123.0542,0.96,505.01329999999996,123.0542_0.96,123.0542_0.96,1
152.0354_1.011,16169.251545454545,48168.96283636364,0.33567780150018256,0.0441,-1.5748509606654624,1.3555614105321614,152.0354,1.011,10316.608,152.0354_1.011,152.0354_1.011,1,48168.96283636364,17896.301963636364,2.6915595710353193,0.00685,1.4284423562086022,2.1643094285075746,152.0354,1.011,10316.608,152.0354_1.011,152.0354_1.011,1
163.0403_0.951,17632.9849,31295.055,0.5634431669795755,0.019,-0.8276579979801592,1.7212463990471711,163.0403,0.951,11844.2875,163.0403_0.951,163.0403_0.951,1,31295.055,16536.948727272727,1.8924322446733002,0.00211,0.92024164788673,2.6757175447023074,163.0403,0.951,11844.2875,163.0403_0.951,163.0403_0.951,1
183.1023_0.506,27873.607136363637,59746.69018181818,0.46652972828352585,0.0392,-1.0999590792321874,1.4067139329795428,183.1023,0.506,26306.7265,183.1023_0.506,183.1023_0.506,1,59746.69018181818,30154.535909090908,1.9813500151997334,0.0294,0.9864837618972506,1.5316526695878427,183.1023,0.506,26306.7265,183.1023_0.506,183.1023_0.506,1
206.082_0.895,16559.63209090909,36013.402272727275,0.45981859657424246,0.00384,-1.1208632803256156,2.415668775632469,206.082,0.895,15080.0495,206.082_0.895,206.082_0.895,1,36013.402272727275,15778.269609090908,2.2824684306305403,0.00845,1.1905949060856271,2.073143291050308,206.082,0.895,15080.0495,206.082_0.895,206.082_0.895,1
248.0955_0.541,43292.865090909094,73013.93881818182,0.5929397289292434,0.0193,-0.7540426295663748,1.7144426909922261,248.0955,0.541,38112.383,248.0955_0.541,248.0955_0.541,1,73013.93881818182,31829.285272727273,2.2939232908488636,0.00504,1.1978171482141169,2.2975694635544746,248.0955,0.541,38112.383,248.0955_0.541,248.0955_0.541,1
423.0586_7.921,10644.234781818182,39682.5862,0.2682344020667227,0.00572,-1.8984338147359674,2.2426039712069756,423.0586,7.921,12504.446,Cluster_423.0586_7.921,223.0458_7.935;423.0586_7.921;455.0846_7.922,3,39682.5862,7805.306881818182,5.084052017536595,0.00121,2.3459787913692622,2.91721462968355,423.0586,7.921,12504.446,Cluster_423.0586_7.921,223.0458_7.935;423.0586_7.921;455.0846_7.922,3
713.3193_0.549,2671.445790909091,4775.701081818182,0.559382956584048,0.0426,-0.8380917967869749,1.3705904008972811,713.3193,0.549,2644.82215,713.3193_0.549,713.3193_0.549,1,4775.701081818182,2793.158018181818,1.7097855011177931,0.0266,0.7738153450620205,1.575118363368933,713.3193,0.549,2644.82215,713.3193_0.549,713.3193_0.549,1
